Position,Artist,Title,MBID
1,Dynoro & Gigi D'Agostino,In My Mind,571e889b-69ff-4a96-b3b2-c07bb860ca58
2,Ed Sheeran,Perfect,2a0e6123-9673-47f8-acf8-de20c5e7265b
3,Bausa,Was du Liebe nennst,8e5a0431-7a3f-4fa5-87fc-0b670c64aa5e
4,Calvin Harris & Dua Lipa,One Kiss,6cc3fb7f-99fd-4d2f-9eda-147204fdd718
5,Dennis Lloyd,Nevermind,291a8f1e-a2dc-4d80-895f-91aea83c1fdb
6,El Profesor,Bella ciao (Hugel Remix),823219c8-f95c-4cec-a5d5-f22cd3551558
7,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),c7929afd-737c-436e-9c2a-7a9ee468e74f
8,Clean Bandit feat. Demi Lovato,Solo,8abefdcb-091e-44df-a02f-a68885f3387d
9,Marshmello & Anne-Marie,Friends,c2cf94dd-94d1-44bf-8e8f-d7b57d749e21
10,Luis Fonsi & Demi Lovato,Échame la culpa,161fe535-0802-4847-80d0-268031cbcbaa
11,Olexesh feat. Edin,Magisch,8edea4d2-2585-4f63-a5e8-33e179ccd711
12,Drake,God's Plan,a0bd0bee-25e3-4801-8a15-b3fec6f5e62c
13,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,c2a02196-a819-497b-b60b-a2ed5d36d16b
14,Camila Cabello feat. Young Thug,Havana,0f4eda4e-6c6c-427e-8728-c48d8f26921c
15,Capital Bra feat. Ufo361,Neymar,637e3e0e-07b8-4d47-b10c-ec31236028f9
16,Bonez MC & RAF Camora,500 PS,7eb66f70-2431-478b-8cbc-41e5d3096993
17,Eminem feat. Ed Sheeran,River,32d6bfe9-b231-4d5f-9034-61226f7d7d96
18,Summer Cem & Bausa,Casanova,350f9477-49cc-48f8-9aac-964caaa2fa29
19,Nico Santos,Rooftop,d485dc9b-0d61-4bfb-ab76-9e714290f114
20,Loud Luxury feat. Brando,Body,8a47779f-7200-4cdc-99ea-e812418db1b9
21,Post Malone feat. 21 Savage,Rockstar,a2f56403-74ba-4844-9432-539278fcc57f
22,David Guetta & Sia,Flames,1511fcad-d07f-4a1c-8ae5-0cf9a7e4f9b3
23,Tom Walker,Leave A Light On,b9fd3ca1-2427-45de-8466-5e156c17c29d
24,Capital Bra feat. Juju,Melodien,0ab48e1a-f48b-46b1-9f58-f5591acd37a6
25,Maroon 5 feat. Cardi B,Girls Like You,05b8d6ea-2c20-4f1e-ae1c-cf65f42b2db0
26,Capital Bra,One Night Stand,942849cd-8bb2-4adc-90f0-5c96e4d8df88
27,Die Fantastischen Vier feat. Clueso,Zusammen,de295ad1-5fea-4ac5-8ecf-e7dce959c042
28,Alvaro Soler,La cintura,dc5410fc-aee7-469d-8810-433c8b40151f
29,Jonas Blue feat. Jack & Jack,Rise,ce9844a3-8fa9-46f4-a854-c77089bdbe38
30,Ramz,Barking,c2f2d31c-e00f-4e22-852e-c5473a7da4c5
31,The Chainsmokers,Sick Boy,6237ca3d-f2d0-4d07-bfb6-638d794b83db
32,LEA,Leiser,5f4d29a4-9ea2-44f7-be41-161dcb0b47de
33,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,4277b9bd-a0d5-476d-b252-01f820897aa1
34,Ed Sheeran,Shape Of You,c664a576-f0e5-4725-8d52-05ecfe4822d8
35,Post Malone,Better Now,2b632288-0cca-4cc8-85cc-8272f862920e
36,Jason Derulo feat. French Montana,Tip Toe,d7035e3b-3399-4539-bffd-2b80d3da5d68
37,Liam Payne & Rita Ora,For You (Fifty Shades Freed),c59c4f72-b44f-4a8c-ba4e-452548e28776
38,Calvin Harris & Sam Smith,Promises,dc7fc41a-34ca-44c4-b7c5-68e137765e0a
39,Justin Timberlake feat. Chris Stapleton,Say Something,6b7e6590-e079-4fe9-a560-cbb1b5f429c6
40,"Cardi B, Bad Bunny & J Balvin",I Like It,93951877-d1ad-4ebd-a41a-3d818d237cca
41,G-Eazy & Halsey,Him & I,a6c42359-3a84-4146-bfa9-532f28e946c5
42,Lost Frequencies & Zonderling,Crazy,18bccdda-e895-4dd9-b323-75060dfbc392
43,Summer Cem,Tamam Tamam,fb3b66ab-38c9-4b42-95d9-7f9cbe27d79d
44,Nicky Jam x J Balvin,X,971187e9-9666-4ca5-b30c-b04014d08358
45,Jax Jones feat. Ina Wroldsen,Breathe,6c8a2b8f-aa5d-4dba-bc2f-21a6080b0dbf
46,Ofenbach vs. Nick Waterhouse,Katchi,abd527ab-da3a-47b3-ae84-bd364a0be941
47,Luis Fonsi feat. Daddy Yankee,Despacito,678ce6e5-2bb6-4a5f-8a50-b65a4ccbc044
48,Dua Lipa,IDGAF,ea73c102-9fa9-4f6e-a262-a9b347aca4cf
49,Zedd / Maren Morris / Grey,The Middle,22958724-4e26-4a5d-be4f-12a080061f64
50,Rin,Dior 2001,6505eeee-15cf-445a-b5a5-152b0f832f9b
51,Azet feat. RAF Camora,Qa bone,
52,Bonez MC & RAF Camora feat. Gzuz,Kokain,d5ff3590-6af1-4f38-83f7-133aacd88983
53,Armin van Buuren,Blah Blah Blah,fb723e6b-7ea7-43cf-a47b-ade83ee53971
54,Panic! At The Disco,High Hopes,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
55,Capital Bra,5 Songs in einer Nacht,4d7f7151-7e34-4f11-87cd-fa0a0d2ea0bd
56,Justin Bieber + BloodPop®,Friends,3f48bd8a-1c07-40d0-8c6d-ec0429cba3c8
57,"Benny Blanco, Halsey & Khalid",Eastside,787087cb-cb94-442d-98dd-2eddc59f1f84
58,Drake,In My Feelings,9c0a4f88-0755-4f84-9ae2-4da3962bfbe4
59,Kay One feat. Pietro Lombardi,Señorita,70585ded-fedc-4b44-8141-bcdd9171fb95
60,Robin Schulz & Marc Scibilia,Unforgettable,9efd9dcf-f5e2-4bf9-b48a-3ccdde89ffda
61,Ariana Grande,No Tears Left To Cry,8b69a9e5-e740-4724-b517-958892aa959f
62,Sean Paul + David Guetta feat. Becky G,Mad Love,
63,Eli [DE],Change Your Mind,
64,NF,Let You Down,ba359bba-05b5-4079-bbee-c7cb8e762852
65,Kygo feat. Miguel,Remind Me To Forget,
66,George Ezra,Shotgun,81614e2f-298e-4644-aaed-36fe57fb1eb3
67,Rea Garvey feat. Kool Savas,Is It Love?,a95c6e96-a869-4307-86b9-9d26978afac9
68,Rita Ora,Anywhere,6d0a04e2-a34b-439c-9a3c-60ec6a5556e5
69,Dardan,Facetime,41bb2941-0704-49c7-8712-6a3ec1a117ab
70,Eno,Mercedes,5ab57f88-8723-4a8b-8529-376fff39ed6c
71,Selena Gomez x Marshmello,Wolves,
72,XXXTentacion,Sad!,f55b8704-f119-4103-9988-0eb4f713c880
73,Leon Machère,Copacabana,6000cb52-adaa-4268-a2a2-2c35b11f329b
74,Post Malone feat. Ty Dolla $ign,Psycho,aff224cb-b3ac-40ef-809f-945f7b30dd32
75,Marshmello feat. Khalid,Silence,8d2fb8da-933f-45e8-86b4-aaf192c2a3b4
76,Portugal. The Man,Feel It Still,8685724b-f88d-426a-bc50-001bafc68259
77,Pietro Lombardi,Phänomenal,7d75fc6e-42ca-4475-afef-f30fc1687b05
78,Marshmello & Bastille,Happier,623b7611-08d9-4115-acd6-69f734dd3f24
79,Bushido feat. Samra & Capital Bra,Für euch alle,
80,Loredana x Mozzik,Bonnie & Clyde,
81,Bonez MC & RAF Camora,Risiko,f42a3e25-d669-43f7-ba03-36d47f0a62f4
82,Axwell Λ Ingrosso,More Than You Know,90b98021-6ee4-4140-bfc7-49c0fe8c69c5
83,George Ezra,Paradise,9a1445ca-0206-4ccc-a69b-4c0bc809aaf7
84,Dean Lewis,Be Alright,56ecea22-39b5-40fb-967a-874cf6aee4ca
85,James Hype feat. Kelli-Leigh,More Than Friends,a6dc576e-24e4-4fcb-8dc3-276c698a983c
86,Imagine Dragons,Whatever It Takes,2b6647b9-c671-4550-8c4e-8ebd0cd40f3b
87,Kygo & Imagine Dragons,Born To Be Yours,3445e1c2-4e9f-4d08-8272-2180648518e6
88,Capital Bra,Berlin lebt,1115e7eb-05a5-4d0c-adf9-24aa47fceb8f
89,Shawn Mendes,In My Blood,ae39bd21-f010-4974-b30d-bc087acca924
90,J Balvin & Willy William,Mi gente,06c3118a-970d-4b3d-a81d-bb4a7d09dfd5
91,Zayn feat. Sia,Dusk Till Dawn,30207b80-bc75-4123-aa96-a7049342d9cc
92,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know,a66a92e2-6474-467e-8210-5750b318b537
93,Felix Jaehn feat. R. City & Bori,Jennie,0c2ada49-c4cf-4586-a7e3-88ba8a9b1a07
94,Anne-Marie,2002,263882c2-72f2-4d37-ace6-0805799fa103
95,Wincent Weiss,An Wunder,7032c086-2b54-460c-a188-78b96c0ce3ae
96,Robin Schulz & Piso 21,Oh Child,3b74d705-d817-44a0-9e31-700a9e2c8c4b
97,Lea x Cyril,Immer wenn wir uns sehn,
98,RAF Camora,Primo,c35513a6-3b48-460c-9499-14124465cb8e
99,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,5f7fd796-6531-4823-ad8d-6c029172237f
100,Dua Lipa,New Rules,8bb47cf7-81c2-49d1-a971-25c9c82bbc00
